"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GenesInGo"
"1","GO:0006397","mRNA processing","306/6412","477/17059",0.641509433962264,1.70672324297602,12.1489094114003,9.8530492272647e-33,6.26161278392671e-29,5.39635948731139e-29,"Scaf4/Paxbp1/Rbm22/Hnrnpa1/Frg1/Sf3b2/Rprd1a/Prmt9/Sart1/Rbmxl1/Celf4/Lsm6/Cpsf6/Rnf113a1/Iws1/Esrp2/Obi1/Smn1/Rbm7/Ptbp2/Cwc25/Cpsf3/Hnrnpu/Pnn/Khdrbs1/Prpf8/Plrg1/Dhx38/Exosc10/Ramac/Rnps1/Dhx9/Cstf2t/A1cf/Papolg/Ess2/Rbm15b/Zmat2/Srek1/Prpf39/Tardbp/Upf3a/Cdk12/Cdc40/Sf3b3/Sf1/Ppwd1/Zranb2/Magoh/Snrnp40/Ccar2/Thoc3/Srek1ip1/Zfp326/Tcerg1/Casc3/Snrpf/Prpf4b/Mbnl3/Gemin4/Nrde2/Cpsf4/Srsf4/Lsm3/Sde2/Sf3b4/Scaf8/Zc3h3/Tra2a/Pus7l/Nsrp1/Rbm5/Scaf11/Gcfc2/Rbm6/Snrnp48/Adarb2/Fip1l1/Zfp473/Hdac7/Cwf19l1/Ncl/Nova2/Sf3b1/Cpsf7/Sympk/Hnrnpa2b1/Elavl4/Ppp1r8/Ttf2/Prpf19/Srsf2/Tra2b/Mtrex/Zrsr2/Prpf40b/Nova1/Ddx41/Ddx46/Zc3h13/Zcchc8/Wtap/Slu7/Prpf31/Gemin8/Pan3/Papola/Nudt21/Tent2/Lsm8/Slc39a5/Zfp36l1/Bcas2/Tsen34/Ppil3/Srsf5/Wbp4/Thoc1/Hnrnpc/Snrpd1/Celf6/Rbfox3/Khdc4/Ncbp2/Kat8/Ddx17/Hnrnpk/Khdrbs2/Rnmt/Arglu1/Chd8/Rbm25/Dhx36/Mettl3/Hnrnpll/Cdc5l/Clasrp/Phf5a/Csdc2/Srsf7/Lsm5/Snu13/Cdk13/Pcf11/Snrpc/Sf3b6/Trmt2a/Psip1/Arvcf/Srrm1/Ddx1/Akap17b/Dhx8/Srsf10/Ddx47/Nsun2/Tent4a/Rbm4b/Tfip11/Rsrc1/Hnrnpul2/Srpk1/Mfap1a/Cbll1/Rbm10/Wbp11/Alyref/Adar/Smndc1/Rbm39/Rbmx/Rbm28/Rbm14/Snw1/Srsf3/Cir1/Strap/Tut1/Prpf6/Trub1/Hsf1/Aar2/Nono/Cpsf1/Pqbp1/Ythdc1/Rnpc3/Zpr1/Snrpd3/Bud13/Ppih/U2af1/Rrp1b/Xab2/Eftud2/Thoc7/Celf3/Usp49/Pus7/Luc7l/Acin1/Ppie/Pabpn1/Dazap1/Ctnnbl1/Hnrnpa3/Prpf3/Rprd1b/Prmt5/Rbm8a/Ddx20/Wdr77/Sf3a2/Lsm7/Hmx2/Cactin/Sf3a3/Celf5/Snip1/Thrap3/Myod1/Cmtr2/Gemin5/Ahcyl1/Sltm/Srsf6/Dhx15/Ddx5/Ptbp1/Lsm2/Srsf12/Ddx39b/Sf3a1/Usp39/Snrnp200/Smu1/Dhx16/Tia1/Esrp1/Virma/Pcbp1/Hnrnpm/Cwf19l2/Srsf1/Coil/Pcif1/Safb2/Safb/Ilf3/Rbm47/Isy1/Gpatch1/Nup98/Ncbp1/Snrpe/Armc7/Pcbp4/Snrpg/Prpf4/Dbr1/Lmntd2/Phrf1/Ncbp3/Apobec1/Syncrip/Mettl16/Sfpq/Npm1/Zfp64/Clns1a/Trmt6/Sfswap/Prpf38a/Hnrnpl/Plcb1/Aqr/Snrpa/Snrpb2/Hnrnph1/Srrt/Crnkl1/Ddx42/Supt6/Srsf9/Xrn2/Rest/Rpusd2/Luc7l3/Dnajc17/Cd2bp2/Snrpa1/Snrnp70/Cnot6l/U2af2/Prpf40a/Scaf1/Rbm48/Snrpb/Arl6ip4/Raly/Slbp/Sart3/Tssc4/Cdk9/Rbm17/Clp1",306,477
"2","GO:0007389","pattern specification process","299/6412","482/17059",0.620331950207469,1.65038096359782,11.2404980954095,2.7569315204706e-28,8.76014990629533e-25,7.54963931632028e-25,"Tfap2a/Ift88/Dmrt3/Dmrt2/Tdrd1/Cdx1/Ednra/Pskh1/Smad1/Six2/Hhip/Ccdc39/Rfx3/Irx1/Zbtb16/Gdnf/Nkx2-1/Tasor/Daam2/Wnt5a/Pax3/Foxa1/Ascl1/Sim2/Ripply3/Wnt7b/Ssbp3/Emx2/Peg12/Dkk1/Wif1/Wnt3a/Atm/Tcf15/Pbx2/Mdga2/Dnaaf2/Zic2/Lrp5/Spry1/Pkd2/Cyp26a1/Nkx3-1/C3/Dnah5/Ets2/Msx2/Arl13b/Ctnnbip1/Bmp1/Robo1/Gli2/Ttc8/Robo2/Nr2f1/Wnt7a/Tcf7l1/Gli1/Gpc3/Kdm2b/Eya1/Osr2/Pierce1/Dchs1/Pitx2/Sp8/Tll2/Sema3f/En1/Cluap1/Ift140/Tll1/Eed/Lef1/Sostdc1/Nr2f2/Pgap1/Smad4/Meox2/Foxj1/Cfap53/Tgif1/Notch2/Chrd/Zic3/Six1/Bicc1/Sf3b1/Pax2/Dmrta2/Mtf2/Kat2a/Tbc1d32/Lbx1/Dpcd/Alx1/Rttn/Satb2/Tra2b/Chrdl1/Foxg1/Ldb1/Sfrp1/Myf5/Tulp3/Gsc/Rpgrip1l/Isl1/Irx3/Wnt2/Sufu/Trp63/Smad5/Fgf10/Ofd1/Bhlhe22/Odad2/Hes1/Rarg/Yy1/Mib1/Pcdh8/Syngap1/Bmpr1b/Ccdc40/Tshz1/Hoxc4/Ar/Cer1/Efnb1/Nodal/Gli3/Dlx1/Dlx2/Hes5/Gas1/Lrp6/Bmpr2/Itgam/Mapk8/Ptch1/Bmpr1a/Kdm2a/Osr1/Tifab/Neurog1/Nrg3/Gbx2/Grhl3/Kmt2a/Dync2li1/Cyp26b1/Foxd1/Poglut1/Noto/Plxna2/Barx1/Tbx1/Nme7/Msx1/Nrp2/Hhex/Dnaaf3/Ift74/Crkl/Gpr161/C1qa/Foxc1/Hoxc13/Hoxc5/Hoxc8/Hoxc6/Traf3ip1/Fgfr4/Lrp4/Smad3/Mdfi/Smo/Kif3a/Fgfr1/Rfng/Odad3/Pbx1/Nkx3-2/Nbl1/Mfng/Celsr2/Ccdc103/Fgfr2/Acvrl1/Foxf1/Foxc2/T/Wnt3/Pax7/Fezf2/Axin1/Hoxd13/Sfrp2/Sox17/Hoxd9/Hoxd8/Hoxd3/Hoxd4/Heyl/Hnf1b/Gas8/Apc2/Bmp4/Wnt2b/C2cd3/Lhx1/Wdr77/Mafb/Alx3/Grem2/Megf8/Rnf111/Dvl2/Xrcc2/Aldh1a2/Acvr2b/Cramp1/Disp1/Aida/Ihh/Shh/Bptf/Tdrd5/Mns1/Ctnnb1/Mnx1/Rbpj/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxa10/Hoxa11/Rnf2/Hoxa1/Hoxa2/Hoxa3/Neurod1/Axin2/Tbx3/Tbx5/Mks1/Wdr19/Tmem67/Dync2h1/Vangl2/Pds5a/Palb2/Anks6/Tgfbr1/Invs/Rab23/Ift172/Tctn1/Wnt6/Cobl/Meis1/Hoxb8/Hoxb7/Hoxb6/Hoxb5/Hoxb4/Hoxb3/Hoxb2/Hoxb1/Lmx1b/Uncx/Lfng/Sema3a/Meis3/Aplnr/Trp53/Meis2/Ovol2/Dnai2/Dll3/Ifitm1/Nkx2-2/Pax1/Foxa2/Lhx2/Ntf5/Zeb2/Acvr2a/Pcgf2/Tbx2/Alx4/Snai1/Pofut1/Bmi1/Ttc21b/Grem1",299,482
"3","GO:0048706","embryonic skeletal system development","111/6412","148/17059",0.75,1.99536026200873,9.43786359229409,1.60610824243483e-20,1.27585223508417e-17,1.09955015597216e-17,"Tfap2a/Ndst1/Dmrt2/Ednra/Six2/Nipbl/Tgfb3/Wnt5a/Sox11/Men1/Sulf1/Rbp4/Dlx6/Hyal1/Dlx5/Eya1/Osr2/Twist1/Ift140/Six1/Tbx15/Six4/Alx1/Pdgfra/Satb2/Myf5/Tulp3/Gsc/Tgfb2/Dlk1/Hoxc4/Runx2/Nodal/Gli3/Dlx1/Dlx2/Gas1/Mmp14/Cdk20/Osr1/Prrx1/Mycn/Shox2/Tbx1/Hoxc5/Hoxc6/Twist2/Smad3/Mdfi/Scx/Dync2i1/Etl4/Pbx1/Hsd17b7/Nkx3-2/Col11a1/Setd2/Grhl2/Fgfr2/Foxc2/Sp1/T/Pax7/Axin1/Hoxd9/Hoxd3/Hoxd4/Hoxd1/Bmp4/Slc35d1/Prrx2/Lhx1/Alx3/Megf8/Ihh/Shh/Ctnnb1/Slc39a3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxa11/Hoxa1/Hoxa2/Hoxa3/Mks1/Wdr19/Mmp16/Rdh10/Tgfbr1/Sulf2/Deaf1/Col1a1/Hoxb8/Hoxb7/Hoxb6/Hoxb5/Hoxb4/Hoxb3/Hoxb2/Hoxb1/Dlx3/Mbtd1/Acvr2a/Pcgf2/Alx4/Gnas/Sp3/Bmi1",111,148
"4","GO:0022613","ribonucleoprotein complex biogenesis","252/6412","439/17059",0.574031890660592,1.52720056499985,8.684399671788,1.24885304189502e-17,8.81829009026984e-15,7.5997454701518e-15,"Urb1/Rps14/Frg1/Fcf1/Sart1/Celf4/Abt1/Lsm6/Ddx28/Nol10/Wdr36/Pwp1/Smn1/Rrs1/Ddx21/Ptbp2/Tsr2/Utp4/Mcat/Nip7/Cul4b/Mcts1/Xpo1/Rcl1/Ruvbl1/Dnttip2/Nob1/Utp14b/Prpf8/Brix1/Exosc10/Exosc5/Utp20/Dhx9/Prpf39/Drosha/Ddx10/Atm/Glul/Rexo4/Utp14a/Afg2a/Mphosph10/Exosc6/Nop16/Snrpf/Dimt1/Prpf4b/Gemin4/Srfbp1/Rrp8/Sde2/Rpp40/Nvl/Ddx18/Mphosph6/Exosc1/Rbm5/Ythdf2/Scaf11/Gcfc2/Riok1/Tma16/Naf1/Tsc1/Nol9/Ddx31/Dkc1/Eif3f/Eif3e/Tsr3/Ncl/Wdr3/Sf3b1/Gtpbp4/Eif3h/Ptges3/Prpf19/Fbll1/Wdr43/Mtrex/Dhx29/Zrsr2/Nop14/Ddx46/Nufip1/Slu7/Prpf31/Gemin8/Pdcd11/Krr1/Atr/Rrp15/Ercc2/Heatr1/Lsg1/Pa2g4/Snrpd1/Ppan/Riok2/Celf6/Khdc4/Ddx17/Eif6/Shq1/Rps19bp1/Eif1a/Eif3k/Rbm34/Ddx3x/Zfp593/Noc4l/Ddx51/Snu13/Nop58/Snrpc/Wdr12/Psip1/Pin4/Trmt112/Srsf10/Ddx47/Mterf3/Utp15/Dicer1/Srpk1/Znhit6/Rbm10/Wbp11/Utp6/Adar/Rpl7l1/Rbmx/Wdr74/Ipo4/Strap/Riox1/Prpf6/Nop9/Noc2l/Ebna1bp2/Dhx30/Dhx37/Bop1/Mterf4/Aar2/Rps19/Ythdc1/Ckap5/Snrpd3/Rrp1b/Xab2/Ran/Celf3/Exosc8/Slx9/Luc7l/Pwp2/Gar1/Wdr46/Utp3/Bms1/Ddx52/Urb2/Prpf3/Prmt5/Dis3/Ddx20/Xrcc5/Aatf/Rexo1/Wdr77/Sf3a2/Prkra/Tbl3/Sf3a3/Celf5/Airim/Nopchap1/Ago1/Ago4/Gemin5/Heatr3/Srsf6/Mdn1/Isg20l2/Lsm2/Zcchc4/Pes1/Wdr18/Exosc2/Eri2/Srsf12/Sdad1/Wdr75/Nom1/Ddx39b/Utp25/Sf3a1/Usp39/Rpusd1/Snrnp200/Nol6/Srsf1/Mettl18/Ddx54/Coil/Isy1/Exosc3/Nop2/Ncbp1/Snrpe/Rsl24d1/Mybbp1a/Snrpg/Rrp9/Emg1/Bud23/Nsun5/C1d/Mettl16/Pop4/Npm1/Ipo9/Clns1a/Sfswap/Grwd1/Esf1/Pelp1/Nop53/Lyar/Usp36/Crnkl1/Ddx42/Ftsj3/Surf6/Fbl/Denr/Rpusd2/Luc7l3/Utp18/Ruvbl2/U2af2/Ddx56/Afg2b/Snrpb/Nop56/Eif2s2/Sart3/Tssc4/Clp1/Nat10",252,439
"5","GO:0048562","embryonic organ morphogenesis","197/6412","331/17059",0.595166163141994,1.58342788163432,8.31814241698723,2.83926394170533e-16,1.28882302496695e-13,1.1107285931348e-13,"Fbn2/Tfap2a/Ndst1/Ednra/Six2/Myc/Ccdc39/Stox1/Nipbl/Slitrk6/Sox2/Tgfb3/Wnt5a/Fzd3/Id2/Sox11/Wnt3a/Men1/Tshr/Efemp1/Pkd2/Lrig3/Arl13b/Rbp4/Gli2/Dlx6/Hyal1/Aldh1a3/Dlx5/Dvl3/Gli1/Whrn/Kdm2b/Eya1/Osr2/Abr/Pitx2/Twist1/Yap1/Cluap1/Ift140/Gfi1/Notch2/Phactr4/Zic3/Six1/Tbx15/Six4/Pax2/Lbx1/Alx1/Tecta/Pdgfra/Satb2/Hlx/Foxg1/Myf5/Ptprq/Ttc39c/Tulp3/Gsc/Stra6/Sufu/Arid1a/Fgf10/Pls1/Clrn1/Tgfb2/Hes1/Rarg/Mib1/Cdh23/Ccdc40/Tshz1/Hoxc4/Itga8/Runx2/Tcf7l2/Nodal/Gli3/Dlx2/Gas1/Foxl2/Lrp6/Scrib/Mmp14/Kdm2a/Osr1/Tifab/Neurog1/Prrx1/Gbx2/Mycn/Grhl3/Pcdh15/Shox2/Noto/Tbx1/Msx1/Ptk7/Pdzd7/Fzd6/Ephb2/Foxf2/Twist2/Tcf7/Smad3/Mdfi/Smo/Kif3a/Dync2i1/Fgfr1/Rarb/Bcr/Nkx3-2/Col11a1/Setd2/Ccdc103/Grhl2/Fgfr2/Foxf1/Foxc2/Sp1/T/T2/Tmie/Axin1/Sox17/Hoxd9/Hoxd3/Sec24b/Hoxd4/Hnf1b/Bmp4/Gjb6/Mfap2/Prrx2/C2cd3/Lhx1/Hmx3/Hmx2/Prkra/Eya4/Mafb/Alx3/Megf8/Dvl2/Aldh1a2/Insig1/Ihh/Shh/Ctnnb1/Slc39a3/Rbpj/Hoxa4/Hoxa5/Hoxa7/Hoxa9/Hoxa11/Hoxa1/Hoxa2/Hoxa3/Neurod1/Hpn/Tbx3/Wdr19/Mmp16/Vangl2/Smarca4/Sox9/Rdh10/Tgfbr1/Ift172/Tprn/Kcnq4/Th/Hoxb8/Hoxb7/Hoxb6/Hoxb5/Hoxb4/Hoxb3/Hoxb2/Hoxb1/Aplnr/Nherf1/Ovol2/Rest/Tead2/Fzd2/Pcgf2/Tbx2/Ppp1r35/Alx4/Gnas/Sp3/Bmi1",197,331
"6","GO:0030900","forebrain development","250/6412","448/17059",0.558035714285714,1.48464305208983,8.06696724864576,1.79893447931728e-15,6.72484036238899e-13,5.79557652996148e-13,"Bmerb1/Gsk3b/Nde1/Tfap2a/Ndst1/Ift88/Zmiz1/Atrx/Csf1r/Phactr1/Atp7a/Pou4f1/Nkx2-1/Sox2/Dct/Wnt5a/Id4/Hdac1/Adcyap1/Draxin/Ascl1/Wnt7b/Emx2/Dixdc1/Col3a1/Kif26a/Kirrel3/Pex13/Hdac2/Dkk1/Sema6b/Rtn4r/Hmga2/Lhx8/Id2/Pex5/Casp3/Wnt3a/Tox/Avpr1a/Plxna1/Ezh2/Ywhae/Ptchd1/Nefl/Apaf1/Fez1/Fat4/Ptger3/Dnah5/Arl13b/Drd1/Tyro3/Mecp2/Tubb2a/Tubb2b/Robo1/Gli2/Sema5a/Ttc8/Dclk2/Akna/Aldh1a3/Dlx5/Flna/Kras/Eif2b5/Rara/Robo2/Nr2f1/Wnt7a/Gli1/Nin/Twsg1/D16Ertd472e/Kdm2b/Arhgap35/Pitx2/Slc7a11/Plxna3/Sin3a/Slit1/Slc38a2/Lef1/Crtac1/Nr2f2/Tsc1/Pgap1/Foxp2/Atf5/Chrd/Zic3/Ephb3/Efhc1/Dmrta2/Kat2a/Elavl4/Kcna1/Dpcd/Wdr89/Fabp7/Sema7a/Tra2b/Cxcr4/Nhlh2/Foxg1/Ngf/Chd5/Gsc/Dclk1/Pitx1/Mas1/Rpgrip1l/Gnaq/Isl1/Dcx/Tnr/Arx/Arid1a/Bbs2/Fgf10/Mrtfb/Bcl11b/Trp73/Bhlhe22/Kcnq2/Bbs4/Hes1/Sema3e/H2ax/P2ry12/Fbxo45/Hnrnpk/Mrtfa/Ophn1/Mettl3/Ntrk2/Tcf7l2/Gli3/Dlx1/Dlx2/Hes5/Fut10/Lrp6/Cntn2/Itgam/Gdf7/Bmpr1a/Zswim6/Neurog1/Nrg3/Gbx2/Dicer1/Pak1/Msx1/Nrp2/Oxtr/Kdm1a/Ncor2/Hhex/Crkl/Ephb2/Ndnf/Wnt4/Bbs1/Creb1/Xrcc1/Kif1a/Rac3/Smo/Kif3a/Epha5/Fgfr1/Rarb/Top2b/Uba6/Cdk5r1/Tsku/Htr6/Dock7/Notch3/Setd2/Bloc1s6/Ran/Fgfr2/Fezf2/Cxcl12/Src/Mfsd2a/Cdk5/Bmp4/Wnt2b/Kcna3/Kcna2/Dab1/Lhx1/Chrnb2/Hook3/Pou3f1/Kcnc1/Fyn/Aldh1a2/Lpar1/Cdk5r2/Shh/Ctnnb1/Akirin2/Ulk4/Rbpj/Cckar/Kif21b/Neurod1/Atat1/Tbx3/Dync2h1/Slc1a2/Ptprs/Efna2/Smarca4/Sstr2/Tctn1/Grcc10/Grin1/Pianp/Nsun5/Egfr/Th/Igf2bp1/Uncx/Sema3a/Tfap2c/Plcb1/Sec1/Btbd3/Numbl/Nf1/Lhx6/Xrn2/Lhx2/Zeb2/Tacc3/Nr4a2/Tyrobp/Kdm6b/Prdm8/Rtn4rl2/Scn2a/Ttc21b/Mdk/Ttbk2",250,448
"7","GO:0048863","stem cell differentiation","164/6412","272/17059",0.602941176470588,1.60411315181094,7.79405349476841,1.78947563941607e-14,5.98532509920481e-12,5.15825027805087e-12,"Gsk3b/Tfap2a/Tcof1/Ift80/Ednra/Cfl1/Jarid2/Pwp1/Prdm4/Gdnf/Sox2/Sox21/Hdac1/Pax3/Foxa1/Hnrnpu/Wnt7b/Ltbp3/Sema6c/Hdac2/Sema6b/Med1/Fzd1/Kdm3a/Pdcd6/Cdk12/Men1/Tcf15/Ezh2/Zic2/Bbs12/Cyp26a1/Sox5/Msx2/Pum1/Sema5a/Sema6a/Fbxl17/Wnt7a/Tcf7l1/Krt10/Pitx2/Twist1/Sema3f/Ccdc88c/Yap1/Krt14/Ythdf2/Smad4/Phactr4/Zic3/Six1/Pax2/Dmrta2/Mtf2/Sema4a/Alx1/Pdgfra/Sema7a/Sfrp1/Kit/Nolc1/Gsc/Isl1/Sema3g/Trp63/Nudt21/Setd1a/Ccnk/Tgfb2/Ercc2/Hes1/Sema3d/Sema3e/Sox10/Lin28a/Dhx36/Runx2/Efnb1/Mettl3/Sema5b/Phf5a/Cdk13/Hes5/Lrp6/Bmpr1a/Osr1/Zfp36l2/Gbx2/Mta1/Nsun2/Snai2/Ell3/Dicer1/Smyd5/Tbx1/Msx1/Nrp2/Sema4g/Mapk14/Hhex/Foxc1/Sema4c/Klhl12/Mta2/Sox18/Smo/Fgfr1/Gatad2b/Lmbr1l/Ggt1/Setd2/Fgfr2/Foxc2/Sp7/T/Wnt3/Pus7/Dnmt3l/Zfp281/Sfrp2/Sox17/Hoxd4/Ret/Ptprc/Hnf1b/Ptn/Bmp4/Mbd3/Xrcc5/Zscan10/Aldh1a2/Shh/Kitl/Ctnnb1/Rbpj/Hoxa7/Sox8/Vsir/Tbx3/Tbx5/Sirt6/Epcam/Tacstd2/Sox9/Phox2b/Rdh10/Nelfb/Sema4f/Wnt10a/Hoxb4/Sema3a/Tfap2c/Trp53/Rbbp4/Ovol2/Rest/Tead2/Zeb2/Epop/Tbx2/Ttyh1/Edn3/Grem1",164,272
"8","GO:0021915","neural tube development","122/6412","191/17059",0.638743455497382,1.69936441162349,7.54285225342618,1.27747854485366e-13,3.86589340597381e-11,3.33168965858326e-11,"Tfap2a/Cfl1/St14/Wnt5a/Pax3/Foxa1/Mthfr/Fzd3/Ssbp3/Marcks/Casp3/Kif20b/Wnt3a/Plxnb2/Zic2/Pkd1/Apaf1/Pkd2/Arl13b/Gli2/Abl2/Rara/Kdm2b/Arhgap35/Dchs1/Twist1/En1/Cluap1/Ift140/Dact1/Tsc1/Tgif1/Rgma/Phactr4/Phgdh/Inka1/Pax2/Ipmk/Kat2a/Tbc1d32/Alx1/Sfrp1/Tulp3/Gsc/Mthfd1/Rpgrip1l/Sufu/Arid1a/Zfp36l1/Tgfb2/Bbs4/Hes1/Rarg/Mib1/Cby1/Sall2/Tcf7l2/Nodal/Gli3/Hes5/Gas1/Lrp6/Ptch1/Gdf7/Scrib/Lmo4/Kdm2a/Cdk20/Gbx2/Grhl3/Plxna2/Luzp1/Ptk7/Fzd6/Gpr161/Traf3ip1/Tcf7/Sema4c/Itpk1/Smo/Kif3a/Nup50/Specc1l/Setd2/Grhl2/T/Pax7/Ambra1/Sfrp2/Sox17/Sec24b/Nup133/Bmp4/Brd2/C2cd3/Dvl2/Aldh1a2/Cecr2/Shh/Abl1/Mnx1/Traf6/Mks1/Wdr19/Vangl2/Rab23/Ift172/Brpf1/Tctn1/Deaf1/Cobl/Enah/Ovol2/Nf1/Foxa2/Lhx2/Spint1/Tead2/Zeb2/Spint2/Bmi1/Ttbk2",122,191
"9","GO:0060562","epithelial tube morphogenesis","219/6412","397/17059",0.551637279596977,1.46762014233388,7.31597281287687,5.00322919537535e-13,1.44525097893683e-10,1.24554074179607e-10,"Tfap2a/Ednra/Cfl1/Pgf/Six2/Hhip/Nfatc3/Myc/Ccdc39/Esrp2/Adamts16/Irx1/Gdnf/Stox1/Nkx2-1/Sox2/St14/Wnt5a/Epha4/Pax3/Foxa1/Mthfr/Igf1/Fzd3/Adamts12/Med1/Hmga2/Casp3/Kif20b/Wnt3a/Plxnb2/Zic2/Pkd1/Apaf1/Lrp5/Fkbpl/Spry1/Csmd1/Fat4/Pkd2/Nkx3-1/Msx2/Arl13b/Ctnnbip1/Robo1/Gli2/Sema5a/Abl2/Kras/Rara/Gpc3/Kdm2b/Arhgap35/Eya1/Lama1/Dchs1/Tnc/Pitx2/Twist1/Egf/Yap1/Cluap1/Pgr/Ahr/Lef1/Sostdc1/Tsc1/Smad4/Npnt/Tgif1/Notch2/Rgma/Phactr4/Rspo2/Zic3/Pkhd1/Six1/Six4/Pax2/Met/Ipmk/Kat2a/Lbx1/Alx1/Pdgfra/Etv5/Cxcr4/Sfrp1/Tulp3/Mthfd1/Timeless/Irx3/Wnt2/Sufu/Arid1a/Fgf10/Tgfb2/Maged1/Bbs4/Hes1/Rarg/Foxp1/Lgr5/Sema3e/Mib1/Ccdc40/Efnb2/Ar/Nodal/Gli3/Hes5/Agtr1b/Lrp6/Ptch1/Gdf7/Scrib/Mmp14/Mmrn2/Lmo4/Kdm2a/Hs2st1/Cdk20/Osr1/Gbx2/Mycn/Grhl3/Stard13/Hs3st3b1/Hs3st3a1/Foxd1/Noto/Dicer1/Tbx1/Pak1/Luzp1/Ptk7/Lzts2/Hhex/Fzd6/Mgp/Wnt4/Tmem59l/Sema4c/Kdm5b/Smad3/Nfatc4/Smo/Kif3a/Pbx1/Nup50/Specc1l/Agtr2/Setd2/Ccdc103/Grhl2/Fgfr2/Acvrl1/Foxf1/Dlg5/Foxc2/T/Cxcl12/Sfrp2/Sox17/Src/Sec24b/Ret/Hnf1b/Bmp4/Wnt2b/Brd2/C2cd3/Lhx1/Pxn/Megf8/Dvl2/Epha7/Aldh1a2/Ihh/Cecr2/Shh/Ctnnb1/Abl1/Rbpj/Hoxa5/Hoxa11/Sox8/Tbx3/Esrp1/Traf6/Sirt6/Mks1/Tmem67/Vangl2/Tacstd2/Sox9/Rdh10/Rab23/Ift172/Brpf1/Tctn1/Deaf1/Wnt6/Cobl/Hoxb7/Aplnr/Tfap2c/Enah/Ovol2/Foxa2/Gzf1/Lhx2/Spint1/Tead2/Zeb2/Tbx2/Spint2/Mdk/Grem1",219,397
"10","GO:0048705","skeletal system morphogenesis","154/6412","259/17059",0.594594594594595,1.58190723474566,7.32312053973986,5.64481261773136e-13,1.55968626894273e-10,1.34416293135269e-10,"Fbn2/Tfap2a/Ndst1/Ift80/Cdx1/Pdgfrb/Six2/Hhip/Myc/Nipbl/Tgfb3/Barx2/Col3a1/Ltbp3/Arid5b/Sox11/Men1/Tcf15/Pkd1/Rflnb/Lrp5/Sox5/Sulf1/Msx2/Col27a1/Hyal2/Hyal1/Dlx5/Rara/Wnt7a/Eya1/Osr2/Twist1/Ift140/Sh3pxd2b/Fgf18/Six1/Tbx15/Six4/Nab2/Alx1/Pdgfra/Satb2/Sfrp1/Myf5/Tulp3/Pappa2/Gsc/Mmp2/Col9a1/Sp5/Tgfb2/Rarg/Bmpr1b/Hoxc4/Cer1/Runx2/Sgpl1/Nodal/Gli3/Dlx2/Gas1/Lrp6/Bmpr2/Mmp14/Osr1/Tifab/Neurog1/Prrx1/Mycn/Rflna/Sfrp4/Cyp26b1/Shox2/Tbx1/Msx1/Mapk14/Foxc1/Hoxc8/Twist2/Smad3/Mdfi/Scx/Dync2i1/Rarb/Recql4/Wnt10b/Nkx3-2/Col11a1/Setd2/Grhl2/Fgfr2/Foxc2/Atf2/T/Ankrd11/Axin1/Hoxd9/Hoxd8/Hoxd3/Hoxd4/Col11a2/Bmp4/Prrx2/Lhx1/Dhrs3/Prkra/Alx3/Megf8/Acvr2b/Insig1/Ihh/Wdr48/Ctnnb1/Slc39a3/Hoxa4/Hoxa5/Hoxa7/Hoxa9/Hoxa11/Hoxa1/Hoxa2/Hoxa3/Axin2/Wdr19/Mmp16/Npr2/Sox9/Rdh10/Tgfbr1/Rab23/Por/Col1a1/Carm1/Hoxb8/Hoxb7/Hoxb6/Hoxb5/Hoxb4/Hoxb3/Hoxb2/Hoxb1/Alpl/Uncx/Otor/Ifitm5/Pax1/Pcgf2/Tbx4/Tmem119/Alx4/Gnas/Bmi1/Grem1",154,259
