"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GenesInGo"
"1","GO:0006091","generation of precursor metabolites and energy","321/6079","467/17059",0.687366167023555,1.92889939846271,15.1445617060077,3.64733304183027e-49,2.31897434799568e-45,1.84516658937224e-45,"Ndufb4/Fxn/Zbtb20/Prkaa1/Ndufb5/Adrb1/Ndufa6/Cox7b/Dlst/Pgk1/Pfkfb1/Ndufb9/Ppp1r1a/Ndufa1/Hk1/Atg3/Hkdc1/Adhfe1/Ndufs6/Coa8/Etfdh/Ndufb7/Abcd1/Idh3g/Slc1a3/Dyrk2/Mfn2/Sdhd/Esrrb/Mrps36/Dlat/Ccnb1/Kat2b/Ppara/Ndufa2/Mtor/Cox7a2/Abcc9/Inpp5k/Cox7b2/P2rx7/Acadm/Etfb/Sik2/Sdha/Atg2a/Atp5f1e/Fdx1/Uqcrfs1/Aifm1/Acat1/Pnpt1/Slc25a23/Pygm/Idh3a/Slc37a2/Sco2/Gnpda1/Nr1d1/Mfsd8/Aldh1l1/Afg1l/Enox2/Ppp1r3d/Gbe1/Slc25a13/Atpsckmt/Cox8a/Sorbs1/Etfrf1/Eno1b/Etfa/Chchd4/Atp5mf/H6pd/Pdha1/Ndufv2/Suclg1/Eno1/Cox6c/Pygl/Fkrp/Tafazzin/Tmem135/Ppp1r3g/Ndufa4/Ndufc1/Acox1/Mtch2/Pgam1/Akt2/Ppp1r3a/Hk2/Pfkp/Csl/Trap1/Phka2/Got1/Cox5a/Ndufa13/Aldoart1/Prps1/Hmgcs2/Il6st/Cycs/Mpi/Atp5if1/Shmt2/Sdhaf2/Coq10b/Cisd1/Ndufa9/Htr2a/Immp2l/Atp5f1b/Atp5me/Cox7c/Tigar/Rubcnl/Ndufs4/Insr/Sdhaf4/Stat3/Ndufa3/Phkg2/Pfkfb2/Atp5f1a/Atg2b/Sod2/Adra1b/Dnajc15/Mt3/Cs/Nnt/Prps2/Coq9/Ppp1r2/Ndufb3/Adgrf5/Uqcc2/Adsl/Coa6/Uqcrh/Slc37a4/Pm20d1/Irs2/Epm2a/Trim63/Ogdhl/Aco2/Slc25a12/Fdx2/Aifm2/Oxct1/Gyg1/Ndufs8/Gaa/Ndufv1/Mtfr1l/Selenon/Oxa1l/Comt/Wdr93/Ncor1/Ppp1ca/Phka1/Got2/Plec/Prxl2c/Mtfr2/Cox7a2l/Ndufa5/Cox6a2/Idh2/Enpp1/Akt1/Cox10/Il10rb/Ndufc2/Atp5pf/App/Hmgcl/Gale/Ide/Uqcrb/Cox17/Snca/Ppp1r3b/Uqcc3/Atp5po/Dld/Cyc1/Sco1/Ppp1r3c/Ndufb8/Ndufb11/Actn3/Per2/Tefm/Ppp2ca/Prelid1/Ndufa10/Cox5b/Uqcrq/Cox6b2/Pfkm/Hif1a/Pink1/Ndufv3/Prkag1/Chchd10/Pdhb/Ppif/Acacb/Cox4i1/Ak4/Sdhc/Pfkl/Cbfa2t3/Ndufs2/Bpgm/Trpv4/Lyrm7/Sdhb/Ndufs7/Coq7/Uqcr11/Sucla2/Cyct/Ucp2/Atp5pb/Ndufb2/Rb1cc1/Slc4a4/Ndufs5/Ndufb10/Prkaca/Prkag2/Aldh1l2/Pklr/Gba1/Agl/Pgm1/Fh1/Bloc1s1/Opn3/Ppargc1a/Phkb/Zbtb7a/Stbd1/Ndufs1/Ndufb6/G6pd2/Uqcrc2/Pgm2/Ier3/Ndufa12/Cdk1/Uqcrc1/Wipi1/Ndufa7/Atp5f1d/Gpi1/Ndufa11/Ndufab1/Slc25a11/Eno3/Pgam2/Rhoa/Gapdh/Gfpt1/Nr4a3/Irs1/Atp5pd/Suclg2/Rbks/Galt/Ppp1cb/Phb2/Eno2/Taldo1/Grb10/Tpi1/Prkag3/Mdh2/Ugp2/Vcp/Mdh1/Park7/Ldha/Nipsnap2/Phkg1/Chchd2/Prkaa2/Cavin3/Ndufa8/Taco1/Sirt3/Proca1/Cox8b/Cox6a1/Aldoc/Pygb/Aldoa/Oas1c/Ndufaf1/Gys1/Slc4a1/Cox7a1/Gpd2/Uchl1/Ogdh/Ndufs3/Cox6b1/Igf2/Uqcr10/Idh3b/Iscu/Mtln/Atp5f1c/Cat",321,467
"2","GO:0007005","mitochondrion organization","303/6079","475/17059",0.637894736842105,1.79007177427035,12.9941436513102,1.17029568261458e-36,1.4881479900127e-33,1.18409285276751e-33,"Ndufb4/Ndufb4c/Ndufb4b/Fxn/Ndufb5/Dnm1l/Edn1/Camk2a/Lpin1/Ndufa6/Ndufb9/Ndufa1/Ptcd2/Atg3/Supv3l1/Ndufs6/Cyrib/Bik/Coa8/Ndufb7/Miga1/Mfn2/Samm50/Apool/Dna2/Gclc/Cox20/Acad9/Wdr81/Gclm/Ndufa2/Dmac2/Prdx3/Cox7a2/Cntnap2/Abcc9/Slc25a4/P2rx7/Foxred1/Golph3/Primpol/Bhlha15/Tomm70a/Cln8/Bnip3l/Aifm1/Chchd6/Mff/Immt/Pnpt1/Afg3l2/Alkbh7/Slc25a31/Sco2/Armcx3/Mfsd8/Bcl2l1/Afg1l/Higd2a/Parl/Gimap5/Chchd4/Cxadr/Dcn/Mef2a/Tafazzin/Tmem135/Tmem242/Rrm2b/Mgarp/Ndufc1/Vps35/Mtch2/Dnajc11/Tmem70/Hap1/Timm9/Hk2/Pyroxd2/Acaa2/Ndufa13/Dynlt1b/Dynlt1f/Dnaja3/Atp5if1/Cav2/Sdhaf2/Tmem14a/Hspd1/Ndufa9/Immp2l/Mief2/Lmna/Maip1/Uqcc5/Tmem11/Tspan9/Ndufs4/Prkn/Mcu/Sdhaf4/Stat3/Htt/Ndufa3/Kdr/Vps13a/Slc9a1/Mtm1/Opa3/Sod2/Kif5b/Apoo/Opa1/Atpaf1/Ap3b1/Synj2bp/Armc1/Rap1gds1/Tmem126a/Pla2g6/Ndufb3/Coa3/Trak2/Ttc19/Ggnbp1/Mief1/Rnf7/Uqcc2/Pycard/Polg/Rab29/Epm2a/Zdhhc6/Fam162a/Aifm2/Slc25a46/Lrrk2/Ndufs8/Vdac2/Ppm1k/Adgrg6/Mtfr1l/Selenon/Vat1/Oxa1l/Tomm40/Nectin2/Tfrc/Plec/Mtfr2/Mapk9/Cox7a2l/Ndufa5/Ghitm/Sh3glb1/Psmd10/Enpp1/Inf2/Slc25a5/Akt1/Bad/Cox10/Mrpl39/Ndufc2/Ndufaf8/Poldip2/Hmgcl/Cox17/Ddhd1/Dctn6/Snca/Uqcc3/Agtpbp1/Sharpin/Sco1/Ndufb8/Ndufb11/Nol3/Sirt7/Slirp/Prelid1/Adck1/Ndufa10/Cert1/Rhot1/Tomm22/Rab3a/Mfn1/Pink1/Mul1/Atg7/Rab5if/Micos10/Pet100/Pparg/Chchd10/Afg3l1/Msto1/Dap3/2610042L04Rik/Them4/Ppif/Erbb4/Cox14/Pim2/Chchd3/Ndufs2/Spg7/Lyrm7/Bcl2/Mrpl15/Mtx2/Ndufs7/Cstad/Stmp1/Coq7/Oma1/Fmc1/Ucp2/Coa4/Ndufb2/Agk/Vps13d/Ndufs5/Cfh/Jtb/Ndufb10/Cox18/Gba1/Vps13c/Mfsd14a/Ndufaf7/Igtp/Irgm2/Ndufaf4/Ppargc1a/Lyrm2/Chchd7/Mtfp1/Htra2/Smim20/Timm13/Trak1/Cck/Epas1/Ndufs1/Higd1a/Ndufb6/Rhot2/Ndufaf6/Ier3/Ndufa12/Uqcrc1/Atp5f1d/Micos13/Lonp1/Ndufa11/Ndufab1/Timm29/Mpv17/Gpx1/Mtnap1/Ndufaf3/Slc30a9/Pdcd5/Coa5/Cdkn2a/Phb2/Bcs1l/Fzd9/Cluh/Phb1/Tspan4/Park7/Bnip3/Atad3a/Bbc3/Nipsnap2/Chchd2/Tmem102/Arrb2/Mgme1/Ndufa8/Fis1/Taco1/Timm50/Surf1/Proca1/Hip1r/Ndufaf1/Cox7a1/Letm1/Atpaf2/Slc22a5/Ndufs3/Pisd/Uqcc1/Romo1/Slc35f6/Timm10/Endog/Miga2/Ndufaf5",303,475
"3","GO:0006119","oxidative phosphorylation","113/6079","133/17059",0.849624060150376,2.38423043956329,11.9243854003089,5.99690249393318e-32,6.35471767607119e-29,5.05633568172682e-29,"Ndufb4/Fxn/Ndufb5/Ndufa6/Cox7b/Ndufb9/Ndufa1/Ndufs6/Ndufb7/Abcd1/Sdhd/Ccnb1/Ndufa2/Cox7a2/Cox7b2/Sdha/Atp5f1e/Uqcrfs1/Slc25a23/Afg1l/Atpsckmt/Cox8a/Atp5mf/Ndufv2/Cox6c/Tafazzin/Tmem135/Ndufc1/Mtch2/Cox5a/Ndufa13/Cycs/Atp5if1/Shmt2/Sdhaf2/Ndufa9/Atp5f1b/Atp5me/Cox7c/Ndufs4/Ndufa3/Atp5f1a/Dnajc15/Coq9/Ndufb3/Uqcc2/Coa6/Uqcrh/Ndufs8/Ndufv1/Cox7a2l/Ndufa5/Cox6a2/Ndufc2/Atp5pf/Uqcrb/Snca/Uqcc3/Atp5po/Dld/Cyc1/Ndufb8/Ndufb11/Actn3/Tefm/Ndufa10/Cox5b/Uqcrq/Cox6b2/Pink1/Ndufv3/Chchd10/Ppif/Cox4i1/Ak4/Sdhc/Ndufs2/Sdhb/Ndufs7/Coq7/Uqcr11/Cyct/Atp5pb/Ndufb2/Ndufs5/Ndufb10/Ndufs1/Ndufb6/Uqcrc2/Ndufa12/Cdk1/Uqcrc1/Ndufa7/Atp5f1d/Ndufa11/Ndufab1/Rhoa/Atp5pd/Vcp/Park7/Nipsnap2/Chchd2/Ndufa8/Proca1/Cox8b/Cox6a1/Ndufaf1/Cox7a1/Ndufs3/Cox6b1/Uqcr10/Iscu/Atp5f1c",113,133
"4","GO:0032543","mitochondrial translation","110/6079","129/17059",0.852713178294574,2.39289917889902,11.8158512539407,1.98143513540587e-31,1.79970922727293e-28,1.43199658056551e-28,"Yars2/Gfm2/Mrpl47/Mrpl57/Mrps27/Mrpl36/Mrps7/Mrpl37/Mrpl44/Hars1/Mrpl35/Tufm/Mrpl21/Gatb/Ptcd3/Mtif2/Mrpl40/Nsun3/Tsfm/Qrsl1/Mrps21/Mtg2/Mrps31/Ptcd1/Mrpl38/Mrps2/Mrpl19/Mrps35/Shmt2/Wars2/Mrps28/Mrpl16/Mtif3/Cdk5rap1/Mrps16/Mrpl18/Mrpl46/Iars2/Mrps14/Rmnd1/Mrps30/Gars1/Chchd1/Mtrf1/Coa3/Dars2/Uqcc2/Nsun4/Mrpl32/Mrpl4/Aars2/Mrps22/Mrpl52/Mrpl49/Mrps18a/Ngrn/Mrpl39/Lrpprc/Gfm1/Mrps6/Mrpl2/Mrpl43/Mpv17l2/Mrpl34/Mrpl3/Mrpl30/Dap3/Mrpl9/Mrps10/Mrpl28/Mrpl15/Mrps9/Mrpl48/Mrps33/Mrpl14/Mrps15/Gadd45gip1/Mrpl22/Mrps34/Mrpl24/Mrpl53/Mrpl54/Lars2/Mrpl42/Mrps18b/Mrps23/Mrps5/Mrpl41/Ears2/Mrps24/Fastkd2/Mrpl51/Mrpl58/C1qbp/Mrpl33/Mrpl23/Mrpl10/Mrpl45/Mtg1/Aurkaip1/Mrpl55/Mrps17/Mrps12/Sars2/Mrps18c/Mrpl12/Taco1/Mrpl1/Mrpl27/Mrps26",110,129
"5","GO:0140053","mitochondrial gene expression","129/6079","168/17059",0.767857142857143,2.15477463398585,11.1918827602193,8.65946619433173e-28,6.11743178484012e-25,4.86753152397173e-25,"Prkaa1/Yars2/Gfm2/Mrpl47/Mrpl57/Ppargc1b/Mrps27/Supv3l1/Mrpl36/Mrps7/Mto1/Tfb2m/Mrpl37/Mrpl44/Hars1/Mrpl35/Tufm/Mrpl21/Pnpt1/Gatb/Ptcd3/Mtif2/Mrpl40/Nsun3/Tsfm/Mtres1/Qrsl1/Mrps21/Mtg2/Mrps31/Ptcd1/Mrpl38/Mrps2/Mrpl19/Mrps35/Shmt2/Wars2/Trmt5/Mrps28/Mrpl16/Mtif3/Fastkd1/Cdk5rap1/Mrps16/Mrpl18/Rbfox2/Mrpl46/Iars2/Mrps14/Rmnd1/Mrps30/Gars1/Chchd1/Mtrf1/Coa3/Dars2/Mtpap/Uqcc2/Nsun4/Mrpl32/Mrpl4/Aars2/Mrps22/Trnt1/Mrpl52/Mrpl49/Mrps18a/Ngrn/Mrpl39/Lrpprc/Gfm1/Mrps6/Mrpl2/Mrpl43/Kansl3/Tefm/Mpv17l2/Mrpl34/Mrpl3/Mrpl30/Dap3/Mrpl9/Mrps10/Mrpl28/Mrpl15/Mrps9/Fastk/Mrpl48/Mrps33/Cfh/Mrpl14/Mrps15/Gadd45gip1/Mrpl22/Mrps34/Mrpl24/Mrpl53/Mrpl54/Lars2/Mrpl42/Mrps18b/Mrps23/Mrps5/Mrpl41/Ears2/Mrps24/Fastkd2/Mrpl51/Mrpl58/C1qbp/Tbrg4/Mrpl33/Mrpl23/Mrpl10/Mrpl45/Mtg1/Aurkaip1/Mrpl55/Mrps17/Mrps12/Sars2/Mrps18c/Mrpl12/Taco1/Sirt3/Mrpl1/Mrpl27/Mrps26/Fastkd5",129,168
"6","GO:0046034","ATP metabolic process","156/6079","224/17059",0.696428571428571,1.95433048198717,10.6978179050924,2.25941743923107e-25,1.30594327987556e-22,1.03911580985115e-22,"Ndufb4/Zbtb20/Prkaa1/Ndufb5/Atp6v1a/Dnm1l/Ndufa6/Pgk1/Pfkfb1/Ndufb9/Ndufa1/Hk1/Hkdc1/Ndufs6/Tspo/Ndufb7/Sdhd/Esrrb/Kat2b/Ppara/Ndufa2/Mtor/Abcc9/Tgfb1/P2rx7/Sik2/Sdha/Atp5f1e/Dmac2l/Mfsd8/Nmnat1/Bcl2l1/Slc25a13/Atpsckmt/Ldhd/Eno1b/Atp5mf/Ndufv2/Eno1/Fkrp/Entpd1/Ndufc1/Mtch2/Pgam1/Hk2/Pfkp/Atp6v1b2/Ndufa13/Aldoart1/Mpi/Atp5if1/Ndufa9/Htr2a/Atp5f1b/Atp5me/Tigar/Ndufs4/Insr/Prkn/Stat3/Ndufa3/Pfkfb2/Atp5f1a/Ndufb3/Ampd3/Trim63/Slc25a12/Ndufs8/Ndufv1/Selenon/Ncor1/Prxl2c/Ndufa5/Enpp1/Bad/Atp5mg/Ndufc2/Atp5pf/App/Gale/Uqcc3/Atp5po/Atp1b1/Ak3/Ndufb8/Ndufb11/Actn3/Ppp2ca/Ola1/Ndufa10/Pfkm/Ampd2/Hif1a/Ndufv3/Prkag1/Ak4/Sdhc/Clpx/Pfkl/Cbfa2t3/Ndufs2/Atp5mc3/Bpgm/Atp5mc2/Sdhb/Ndufs7/Myh6/Myh7/Ucp2/Atp5pb/Ndufb2/Slc4a4/Ndufs5/Cfh/Ndufb10/Prkaca/Prkag2/Atp1a2/Pklr/Ppargc1a/Zbtb7a/Ndufs1/Ndufb6/Ier3/Ndufa12/Ndufa7/Atp5f1d/Gpi1/Ndufa11/Ndufab1/Cox11/Eno3/Pgam2/Gapdh/Atp5pd/Galt/Eno2/Map2k1/Tpi1/Prkag3/Nt5e/Vcp/Atp5mc1/Fignl1/Prkaa2/Ndufa8/Fis1/Aldoc/Aldoa/Slc4a1/Uchl1/Ogdh/Ndufs3/Atp5f1c/Ak1/Nudt5",156,224
"7","GO:0006163","purine nucleotide metabolic process","250/6079","416/17059",0.600961538461538,1.68642916345047,10.5464316391547,8.57006456041378e-25,4.5407058729259e-22,3.61295879625865e-22,"Ndufb4/Zbtb20/Prkaa1/Ndufb5/Atp6v1a/Dnm1l/Gart/Ndufa6/Dlst/Pgk1/Pfkfb1/Ndufb9/Ndufa1/Hk1/Rhoq/Hkdc1/Gmpr/Ndufs6/Tspo/Ndufb7/Ldhb/Nppb/Nppa/Sdhd/Gucy1b1/Esrrb/Kat2b/Ppara/Ndufa2/Mtor/Abcc9/Tgfb1/P2rx7/Sik2/Sdha/Efl1/Atp5f1e/Fdx1/Nudt9/Nudt11/Entpd4/Slc37a2/Dmac2l/Mfsd8/Aldh1l1/Nmnat1/Bcl2l1/Nudt18/Slc25a13/Atpsckmt/Ldhd/Aspdh/Eno1b/Me1/Atp5mf/H6pd/Ndufv2/Eno1/Pcx/Fkrp/Entpd1/Noct/Cyb5r4/Ndufc1/Pde4d/Mtch2/Nudt17/Pgam1/Hk2/Pfkp/Pals2/Me2/Atp6v1b2/Adcy9/Ndufa13/Aldoart1/Prps1/Mpi/Atp5if1/Nudt13/Ndufa9/Htr2a/Adcy6/Atp5f1b/Atp5me/Tigar/Ndufs4/Ido2/Ido1/Insr/Prkn/Stat3/Ndufa3/Pfkfb2/Atp5f1a/Afmid/Kcnab2/Pals1/Lacc1/Nt5c2/Nnt/Prps2/Opa1/Ppat/Ndufb3/Ampd3/Adsl/Adcy5/Trim63/Adk/Slc25a12/Nmnat3/Nudt3/Nadk2/Lrrk2/Ndufs8/Ndufv1/Naprt/Selenon/Pde4a/Ncor1/Prxl2c/Pde7b/Ndufa5/Idh2/Enpp1/Adss1/Prdx5/Bad/Atp5mg/Ndufc2/Atp5pf/App/Gale/Nme6/Hprt1/Uqcc3/Atp5po/Atp1b1/Ak3/Ndufb8/Ndufb11/Papss2/Actn3/Impdh1/Ppp2ca/Ola1/Ndufa10/Pde4c/Pfkm/Gtpbp1/Ampd2/Adcy4/Hif1a/Mfn1/Ndufv3/Prkag1/Acacb/Ak4/Guca1b/Guca1a/Sdhc/Clpx/Pfkl/Aprt/Cbfa2t3/Ndufs2/Atp5mc3/Bpgm/Atp5mc2/Hint1/Nos3/Nt5c1a/Sdhb/Ndufs7/Myh6/Myh7/Ucp2/Atp5pb/Epha2/Ndufb2/Slc4a4/Ndufs5/Cfh/Ndufb10/Prkaca/Gpd1l/Prkag2/Atp1a2/Aldh1l2/Pklr/Rora/Fmo5/Adcy7/Ppargc1a/Nudt12/Zbtb7a/Nmrk2/Ndufs1/Ndufb6/G6pd2/Ier3/Nudt4/Ndufa12/Ndufa7/Atp5f1d/Gpi1/Ndufa11/Ndufab1/Cox11/Eno3/Pgam2/Rhoa/Gapdh/Atp5pd/Nt5c/Rbks/Adcy1/Galt/Eno2/Map2k1/Taldo1/Tpi1/Prkag3/Mdh2/Nt5e/Nadsyn1/Vcp/Mdh1/Atp5mc1/Fignl1/Ldha/Prkaa2/Ndufa8/Fis1/Fdxr/Aldoc/Nme2/Aldoa/Qprt/Slc4a1/Cacnb4/Gpd2/Uchl1/Ogdh/Ndufs3/Gucy2e/Atp5f1c/Ak1/Nudt5",250,416
"8","GO:0097250","mitochondrial respirasome assembly","86/6079","103/17059",0.83495145631068,2.34305591268365,10.1725529288484,1.52713446031646e-23,5.71148288158356e-21,4.54452521131945e-21,"Ndufb4/Ndufb4c/Ndufb4b/Ndufb5/Ndufa6/Ndufb9/Ndufa1/Ndufs6/Coa8/Ndufb7/Cox20/Acad9/Ndufa2/Dmac2/Cox7a2/Foxred1/Aifm1/Sco2/Higd2a/Tafazzin/Tmem242/Ndufc1/Tmem70/Ndufa13/Sdhaf2/Ndufa9/Uqcc5/Ndufs4/Sdhaf4/Ndufa3/Atpaf1/Tmem126a/Ndufb3/Coa3/Ttc19/Uqcc2/Ndufs8/Oxa1l/Cox7a2l/Ndufa5/Ndufc2/Ndufaf8/Cox17/Uqcc3/Sco1/Ndufb8/Ndufb11/Ndufa10/Rab5if/Pet100/Cox14/Ndufs2/Lyrm7/Ndufs7/Stmp1/Fmc1/Coa4/Ndufb2/Ndufs5/Ndufb10/Cox18/Ndufaf7/Ndufaf4/Lyrm2/Smim20/Ndufs1/Higd1a/Ndufb6/Ndufaf6/Ndufa12/Uqcrc1/Atp5f1d/Ndufa11/Ndufab1/Ndufaf3/Coa5/Bcs1l/Ndufa8/Taco1/Surf1/Ndufaf1/Cox7a1/Atpaf2/Ndufs3/Uqcc1/Ndufaf5",86,103
"9","GO:0015986","proton motive force-driven ATP synthesis","58/6079","61/17059",0.950819672131147,2.66820740037592,9.71169433886111,8.5370223310555e-23,2.70010269815969e-20,2.14842362996564e-20,"Ndufb4/Ndufb5/Atp6v1a/Ndufa6/Ndufb9/Ndufa1/Ndufs6/Ndufb7/Sdhd/Ndufa2/Sdha/Atp5f1e/Atpsckmt/Atp5mf/Ndufv2/Ndufc1/Ndufa13/Atp5if1/Ndufa9/Atp5f1b/Atp5me/Ndufs4/Ndufa3/Atp5f1a/Ndufb3/Ndufs8/Ndufv1/Ndufa5/Atp5mg/Ndufc2/Atp5pf/Atp5po/Ndufb8/Ndufb11/Ndufa10/Ndufv3/Sdhc/Ndufs2/Atp5mc3/Atp5mc2/Sdhb/Ndufs7/Atp5pb/Ndufb2/Ndufs5/Ndufb10/Ndufs1/Ndufb6/Ndufa12/Ndufa7/Atp5f1d/Ndufa11/Ndufab1/Atp5pd/Atp5mc1/Ndufa8/Ndufs3/Atp5f1c",58,61
"10","GO:0019693","ribose phosphate metabolic process","214/6079","353/17059",0.606232294617564,1.70122005492367,9.90568239834166,4.65953079794698e-22,1.23438736722279e-19,9.82180044514614e-20,"Ndufb4/Zbtb20/Prkaa1/Ndufb5/Atp6v1a/Dnm1l/Gart/Ndufa6/Pgk1/Pfkfb1/Ndufb9/Ndufa1/Hk1/Rhoq/Hkdc1/Gmpr/Ndufs6/Tspo/Ndufb7/Rnaseh2b/Nppb/Nppa/Sdhd/Gucy1b1/Esrrb/Kat2b/Ppara/Ndufa2/Mtor/Abcc9/Tgfb1/P2rx7/Sik2/Sdha/Efl1/Atp5f1e/Nudt9/Nudt11/Entpd4/Dmac2l/Mfsd8/Nmnat1/Bcl2l1/Nudt18/Slc25a13/Atpsckmt/Ldhd/Eno1b/Atp5mf/Ndufv2/Eno1/Pygl/Fkrp/Entpd1/Ndufc1/Pde4d/Mtch2/Pgam1/Hk2/Pfkp/Pals2/Atp6v1b2/Adcy9/Ndufa13/Aldoart1/Prps1/Mpi/Atp5if1/Ndufa9/Htr2a/Adcy6/Atp5f1b/Atp5me/Tigar/Ndufs4/Insr/Prkn/Stat3/Ndufa3/Pfkfb2/Atp5f1a/Pals1/Rfk/Nt5c2/Prps2/Opa1/Ppat/Ndufb3/Ampd3/Adsl/Adcy5/Trim63/Adk/Slc25a12/Nudt3/Nt5c3/Lrrk2/Ndufs8/Ndufv1/Selenon/Pde4a/Ncor1/Prxl2c/Pde7b/Ndufa5/Enpp1/Adss1/Bad/Atp5mg/Ndufc2/Atp5pf/App/Gale/Entpd5/Nme6/Hprt1/Uqcc3/Atp5po/Atp1b1/Ak3/Ndufb8/Ndufb11/Papss2/Actn3/Impdh1/Ppp2ca/Ola1/Ndufa10/Pde4c/Pfkm/Uckl1/Gtpbp1/Ampd2/Adcy4/Hif1a/Mfn1/Ndufv3/Prkag1/Ak4/Sdhc/Clpx/Pfkl/Aprt/Cbfa2t3/Ndufs2/Atp5mc3/Bpgm/Atp5mc2/Hint1/Nt5c1a/Sdhb/Ndufs7/Myh6/Myh7/Ucp2/Atp5pb/Epha2/Ndufb2/Slc4a4/Ndufs5/Cfh/Ndufb10/Prkaca/Prkag2/Atp1a2/Pklr/Rora/Adcy7/Ppargc1a/Zbtb7a/Ndufs1/Ndufb6/G6pd2/Ier3/Nudt4/Ndufa12/Ndufa7/Atp5f1d/Gpi1/Ndufa11/Ndufab1/Cox11/Eno3/Pgam2/Rhoa/Gapdh/Atp5pd/Nt5c/Adcy1/Galt/Upp1/Eno2/Map2k1/Tpi1/Prkag3/Nt5e/Vcp/Atp5mc1/Fignl1/Prkaa2/Ndufa8/Fis1/Aldoc/Nme2/Aldoa/Slc4a1/Cacnb4/Uchl1/Ogdh/Ndufs3/Gucy2e/Atp5f1c/Ak1/Nudt5",214,353
